2026-03-13 14:22:08 | req=46722a2f | model=Qwen2.5-3B-Instruct | prefill=30tok | decode=5tok | latency=0.14s | energy=0.00J | cost=USD 0.00000000 | anomaly=0
2026-03-13 14:59:51 | req=1cf7090a | model=Qwen2.5-3B-Instruct | prefill=37tok | decode=150tok | latency=3.73s | energy=91.02J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:59:55 | req=4d86d77e | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.79s | energy=331.03J | cost=USD 0.00001103 | anomaly=0
2026-03-13 15:00:02 | req=a86844cb | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=56tok | latency=1.40s | energy=58.58J | cost=USD 0.00000195 | anomaly=0
2026-03-13 15:00:05 | req=4e4f62cc | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=29tok | latency=0.73s | energy=18.90J | cost=USD 0.00000063 | anomaly=0
2026-03-13 15:00:07 | req=ba71bb0c | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=10tok | latency=0.26s | energy=4.90J | cost=USD 0.00000016 | anomaly=0
2026-03-13 15:00:10 | req=73a9f179 | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=28tok | latency=0.70s | energy=18.47J | cost=USD 0.00000062 | anomaly=0
2026-03-13 15:00:13 | req=528559ae | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=47tok | latency=1.17s | energy=42.81J | cost=USD 0.00000143 | anomaly=0
2026-03-13 15:00:24 | req=27c8de06 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=120tok | latency=2.98s | energy=89.58J | cost=USD 0.00000299 | anomaly=0
2026-03-13 15:00:27 | req=f6d5f746 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=108tok | latency=2.69s | energy=90.99J | cost=USD 0.00000303 | anomaly=0
2026-03-13 15:00:30 | req=c9b00019 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=99tok | latency=2.49s | energy=90.88J | cost=USD 0.00000303 | anomaly=0
2026-03-13 15:00:32 | req=fecb574f | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=92tok | latency=2.30s | energy=91.10J | cost=USD 0.00000304 | anomaly=0
2026-03-13 15:00:35 | req=6d6742fd | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=115tok | latency=2.95s | energy=88.71J | cost=USD 0.00000296 | anomaly=0
2026-03-13 15:00:38 | req=4328bae2 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=129tok | latency=3.21s | energy=90.43J | cost=USD 0.00000301 | anomaly=0
2026-03-13 15:00:41 | req=795d8890 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=103tok | latency=2.62s | energy=90.24J | cost=USD 0.00000301 | anomaly=0
2026-03-13 15:00:43 | req=9337f4b0 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=95tok | latency=2.41s | energy=213.64J | cost=USD 0.00000712 | anomaly=0
2026-03-13 15:00:59 | req=e046af21 | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=300tok | latency=7.98s | energy=88.72J | cost=USD 0.00000296 | anomaly=0
2026-03-13 15:01:01 | req=9d39dead | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=64tok | latency=1.71s | energy=89.56J | cost=USD 0.00000299 | anomaly=0
2026-03-13 15:01:09 | req=4e85c189 | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=300tok | latency=7.93s | energy=86.38J | cost=USD 0.00000288 | anomaly=0
2026-03-13 15:01:11 | req=56141888 | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=89tok | latency=2.42s | energy=207.72J | cost=USD 0.00000692 | anomaly=0
2026-03-13 15:01:19 | req=feac192a | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.06s | energy=1.43J | cost=USD 0.00000005 | anomaly=0
2026-03-13 15:01:19 | req=efcd8dee | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.08s | energy=1.81J | cost=USD 0.00000006 | anomaly=0
2026-03-13 15:01:20 | req=310fc9f6 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.27s | energy=4.68J | cost=USD 0.00000016 | anomaly=0
2026-03-13 15:01:20 | req=fe82c32c | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.23s | energy=7.80J | cost=USD 0.00000026 | anomaly=0
2026-03-13 15:01:20 | req=6fda5460 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.26s | energy=13.37J | cost=USD 0.00000045 | anomaly=0
2026-03-13 15:01:20 | req=e446aa3c | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.07s | energy=5.11J | cost=USD 0.00000017 | anomaly=0
2026-03-13 15:01:20 | req=c057e699 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.27s | energy=21.95J | cost=USD 0.00000073 | anomaly=0
2026-03-13 15:01:21 | req=994e30b7 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.25s | energy=22.78J | cost=USD 0.00000076 | anomaly=0
2026-03-13 15:01:21 | req=f4c2fd29 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.23s | energy=22.72J | cost=USD 0.00000076 | anomaly=0
2026-03-13 15:01:21 | req=20cd03a4 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.27s | energy=26.51J | cost=USD 0.00000088 | anomaly=0
2026-03-13 15:01:21 | req=50fa1c7e | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.25s | energy=24.88J | cost=USD 0.00000083 | anomaly=0
2026-03-13 15:01:22 | req=bae7a3f3 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.23s | energy=22.30J | cost=USD 0.00000074 | anomaly=0
2026-03-13 15:01:22 | req=0a8e336b | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.07s | energy=9.45J | cost=USD 0.00000032 | anomaly=0
2026-03-13 15:01:22 | req=4f353803 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.27s | energy=25.85J | cost=USD 0.00000086 | anomaly=0
2026-03-13 15:01:22 | req=ce3eacc5 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.25s | energy=24.23J | cost=USD 0.00000081 | anomaly=0
2026-03-13 15:01:23 | req=ab8df643 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.26s | energy=25.11J | cost=USD 0.00000084 | anomaly=0
2026-03-13 15:01:31 | req=5d05fdb0 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.14s | energy=2.31J | cost=USD 0.00000008 | anomaly=0
2026-03-13 15:01:31 | req=34f7f3b1 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.14s | energy=3.35J | cost=USD 0.00000011 | anomaly=0
2026-03-13 15:01:31 | req=5845ac16 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=3.42J | cost=USD 0.00000011 | anomaly=0
2026-03-13 15:01:31 | req=68ce6f31 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=3.43J | cost=USD 0.00000011 | anomaly=0
2026-03-13 15:01:44 | req=5f18cf96 | model=Qwen2.5-3B-Instruct | prefill=50tok | decode=500tok | latency=12.48s | energy=91.71J | cost=USD 0.00000306 | anomaly=0
2026-03-13 15:01:44 | req=2aea5819 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.14s | energy=15.08J | cost=USD 0.00000050 | anomaly=0
2026-03-13 15:01:44 | req=cff2fee3 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=14.96J | cost=USD 0.00000050 | anomaly=0
2026-03-13 15:01:44 | req=719a7397 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=14.94J | cost=USD 0.00000050 | anomaly=0
2026-03-13 15:01:49 | req=29dea7d2 | model=Qwen2.5-3B-Instruct | prefill=30tok | decode=1tok | latency=0.04s | energy=0.94J | cost=USD 0.00000003 | anomaly=0
2026-03-13 15:01:50 | req=ddfb69f6 | model=Qwen2.5-3B-Instruct | prefill=30tok | decode=1tok | latency=0.04s | energy=1.27J | cost=USD 0.00000004 | anomaly=0
2026-03-13 15:01:51 | req=281ac2aa | model=Qwen2.5-3B-Instruct | prefill=30tok | decode=1tok | latency=0.04s | energy=1.22J | cost=USD 0.00000004 | anomaly=0
